Model;Task;Item;highlight;total;percentage
deepseek;symmetry_asymmetry_1;raphael_the-guards-outside-the-prison-detail-from-the-liberation-of-st-peter-in-the-stanza-d-eliodoro-1514.jpg;365;1000;36,5



deepseek;eye_movement_2;andrea-mantegna_samson-and-delilah-1506.jpg;60;1000;6,0
deepseek;eye_movement_2;andrea-del-sarto_stories-of-joseph.jpg;241;1000;24,1






